Company Country Code,id,Latitude (generated),Longitude (generated),Count,Total
USA,WY,43,-107.5,6,11605000
USA,WV,38.63,-80.73,12,4750000
USA,WI,44.5,-90,407,2323321357
USA,WA,47.5,-120.5,3541,70795727907.64
USA,VT,44,-72.74,88,343249740
USA,VI,17.74,-64.803,2,250000
USA,VA,37.77,-78.24,1448,19583964346.27
USA,UT,39.25,-111.75,1058,16294114269.49
USA,TX,31.25,-99.25,3968,82120880531.11
USA,TN,35.75,-86.25,991,3640443629
USA,SD,44.5,-100.25,8,36800000
USA,SC,34,-81,261,4641719226
USA,RI,41.75,-71.49,298,3238721050
USA,PA,40.86,-77.9,1893,21023244729.57
USA,OR,44,-120.5,943,7542041304.15
USA,OK,35.5,-97.5,86,691129998
USA,OH,40.25,-83,1195,5848769177
USA,NY,43,-75.49,13371,129859123675.82
USA,NV,39.25,-116.75,309,1025908300
USA,NM,34.5,-106,214,1752482792
USA,NJ,40.16,-74.49,1334,28393190639
USA,NH,43.66,-71.49,304,3674045268
USA,NE,41.5,-99.75,191,1844560362.33
USA,ND,47.5,-100,17,84790145
USA,NC,35.5,-80,1361,22941171133.61
USA,MT,47,-109.75,35,640996340
USA,MS,32.75,-89.75,55,507991763
USA,MO,38.25,-92.5,513,4156974175
USA,MN,46.25,-94.25,660,10545412849
USA,MI,44.25,-85.5,722,5586468171
USA,ME,45.5,-69.24,99,926421522
USA,MD,39.02,-76.63,1304,18397437987.83
USA,MA,42.33,-71.82,9706,141675019356.07
USA,LA,31,-92,86,464194400
USA,KY,37.79,-84.87,117,1822283145.45
USA,KS,38.5,-98.5,158,851388298
USA,IN,40,-86.25,374,2735012525
USA,IL,40,-89.25,2342,36621374239.32
USA,ID,44.0739,-114.542,59,512898034
USA,IA,42,-93.5,86,977701838
USA,HI,20.79,-156.34,42,142816000
USA,GA,32.75,-83.5,1413,21294717363.87
USA,FL,28.42,-81.55,1256,18043091702.3
USA,DE,39,-75.49,94,882276363
USA,DC,38.91,-77,625,8271148574
USA,CT,41.66,-72.66,671,13208366109
USA,CO,39,-105.5,1931,25137434859
USA,AZ,34.5,-111.5,486,5489693028.66
USA,AR,34.75,-92.5,90,754121063
USA,AL,32.75,-86.75,68,641834999
USA,AK,64,-150,4,83850000
